ghidra_address,raw_address,generated_name,body_bytes,source_kind,original_name,status
0x39b4cc,0x29b4cc,recovered_fn_0029b4cc,8,c_decompiled,FUN_0039b4cc,ok
0x39b4d4,0x29b4d4,recovered_fn_0029b4d4,8,c_decompiled,FUN_0039b4d4,ok
0x39b4dc,0x29b4dc,recovered_fn_0029b4dc,140,c_decompiled,FUN_0039b4dc,ok
0x39b568,0x29b568,recovered_fn_0029b568,128,c_decompiled,FUN_0039b568,ok
0x39b5e8,0x29b5e8,recovered_fn_0029b5e8,148,c_decompiled,FUN_0039b5e8,ok
0x39b67c,0x29b67c,recovered_fn_0029b67c,64,c_decompiled,FUN_0039b67c,ok
0x39b6bc,0x29b6bc,recovered_fn_0029b6bc,72,c_decompiled,FUN_0039b6bc,ok
0x39b704,0x29b704,recovered_fn_0029b704,256,c_decompiled,FUN_0039b704,ok
0x39b804,0x29b804,recovered_fn_0029b804,20,c_decompiled,FUN_0039b804,ok
0x39b818,0x29b818,recovered_fn_0029b818,80,c_decompiled,FUN_0039b818,ok
0x39b868,0x29b868,recovered_fn_0029b868,112,c_decompiled,FUN_0039b868,ok
0x39b8d8,0x29b8d8,recovered_fn_0029b8d8,352,c_decompiled,FUN_0039b8d8,ok
0x39ba38,0x29ba38,recovered_fn_0029ba38,96,c_decompiled,FUN_0039ba38,ok
0x39ba98,0x29ba98,recovered_fn_0029ba98,92,c_decompiled,FUN_0039ba98,ok
0x39baf4,0x29baf4,recovered_fn_0029baf4,104,c_decompiled,FUN_0039baf4,ok
0x39bb5c,0x29bb5c,recovered_fn_0029bb5c,140,c_decompiled,FUN_0039bb5c,ok
0x39bbe8,0x29bbe8,recovered_fn_0029bbe8,36,c_decompiled,FUN_0039bbe8,ok
0x39bc0c,0x29bc0c,recovered_fn_0029bc0c,240,c_decompiled,FUN_0039bc0c,ok
0x39bcfc,0x29bcfc,recovered_fn_0029bcfc,248,c_decompiled,FUN_0039bcfc,ok
0x39bdf4,0x29bdf4,recovered_fn_0029bdf4,192,c_decompiled,FUN_0039bdf4,ok
0x39beb4,0x29beb4,recovered_fn_0029beb4,112,c_decompiled,FUN_0039beb4,ok
0x39bf24,0x29bf24,recovered_fn_0029bf24,496,c_decompiled,FUN_0039bf24,ok
0x39c114,0x29c114,recovered_fn_0029c114,640,c_decompiled,FUN_0039c114,ok
0x39c394,0x29c394,recovered_fn_0029c394,96,c_decompiled,FUN_0039c394,ok
0x39c3f4,0x29c3f4,recovered_fn_0029c3f4,580,c_decompiled,FUN_0039c3f4,ok
0x39c638,0x29c638,recovered_fn_0029c638,12,c_decompiled,FUN_0039c638,ok
0x39c644,0x29c644,recovered_fn_0029c644,140,c_decompiled,FUN_0039c644,ok
0x39c6d0,0x29c6d0,recovered_fn_0029c6d0,128,c_decompiled,FUN_0039c6d0,ok
0x39c750,0x29c750,recovered_fn_0029c750,148,c_decompiled,FUN_0039c750,ok
0x39c7e4,0x29c7e4,recovered_fn_0029c7e4,20,c_decompiled,FUN_0039c7e4,ok
0x39c7f8,0x29c7f8,recovered_fn_0029c7f8,16,c_decompiled,FUN_0039c7f8,ok
0x39c808,0x29c808,recovered_fn_0029c808,16,c_decompiled,FUN_0039c808,ok
0x39c818,0x29c818,recovered_fn_0029c818,12,c_decompiled,FUN_0039c818,ok
0x39c824,0x29c824,recovered_fn_0029c824,12,c_decompiled,FUN_0039c824,ok
0x39c830,0x29c830,recovered_fn_0029c830,8,c_decompiled,FUN_0039c830,ok
0x39c838,0x29c838,recovered_fn_0029c838,12,c_decompiled,FUN_0039c838,ok
0x39c844,0x29c844,recovered_fn_0029c844,12,c_decompiled,FUN_0039c844,ok
0x39c850,0x29c850,recovered_fn_0029c850,16,c_decompiled,FUN_0039c850,ok
0x39c860,0x29c860,recovered_fn_0029c860,12,c_decompiled,FUN_0039c860,ok
0x39c86c,0x29c86c,recovered_fn_0029c86c,12,c_decompiled,FUN_0039c86c,ok
0x39c878,0x29c878,recovered_fn_0029c878,12,c_decompiled,FUN_0039c878,ok
0x39c884,0x29c884,recovered_fn_0029c884,12,c_decompiled,FUN_0039c884,ok
0x39c890,0x29c890,recovered_fn_0029c890,16,c_decompiled,FUN_0039c890,ok
0x39c8a0,0x29c8a0,recovered_fn_0029c8a0,2544,c_decompiled,FUN_0039c8a0,ok
0x39d290,0x29d290,recovered_fn_0029d290,88,c_decompiled,FUN_0039d290,ok
0x39d2e8,0x29d2e8,recovered_fn_0029d2e8,400,c_decompiled,FUN_0039d2e8,ok
0x39d478,0x29d478,recovered_fn_0029d478,12,c_decompiled,FUN_0039d478,ok
